Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Sentiment,Confidence
𝐀𝐮 #𝚏𝚘𝚛𝚎𝚟𝚎𝚛𝚒𝚗𝚝𝚑𝚎𝚊𝚒𝚛 #𝘄𝗶𝘁𝗵𝗔𝗿𝗺𝗮𝗻𝗱 ♡,@tonbudj,2025-09-20T02:07:08.000Z,False,"Some Woke Indonesians: Fuck Freeport! Free Papua!

Indonesians when their fav artists boycotting Pestapora:",0,0,0,123,[],[],[],https://pbs.twimg.com/profile_images/1968889746639437825/MpkBugWU_bigger.jpg,https://x.com/tonbudj/status/1969221758851891210,tweet_id:1969221758851891210,netral,0.46342942118644714
Cap Jae (Taylor's Version),@mbahsat,2025-09-19T13:53:05.000Z,False,"Terimakasih freeport, karna mu pestapora heboh, saya jadi notice sheila main dg playlist impian saya. 
Sungguh beruntung yg bisa nntn live.",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1516750177415008263/B179jmXL_bigger.jpg,https://x.com/mbahsat/status/1969037027850285403,tweet_id:1969037027850285403,positif,0.9931811690330505
jklloir,@jklloir,2025-09-17T04:49:19.000Z,False,Kumaha ya.. selama ini pun berita apapun yg terkait papua kan selalu disembunyikan ya rar. Mana momentumnya bersamaan dgn soal freeport pestapora kemarin yg bikin sentimen terhadap freeport jd tinggi lagi. Jd ada kejadian merenggut nyawa karyawan gini udh pasti lah bakal ditutupi,0,0,0,103,[],[],[],https://pbs.twimg.com/profile_images/724482246938255361/p3f6V2bq_bigger.jpg,https://x.com/jklloir/status/1968175411747229887,tweet_id:1968175411747229887,negatif,0.9958755373954773
vander,@Vndr__,2025-09-17T02:36:49.000Z,False,"yaudah ntar tanya ini aja ges: “menurut kamu, IDN ada kaitannya ga sama sponsor freeport di pestapora kemarin?”",0,0,0,173,[],[],[],https://pbs.twimg.com/profile_images/1720468159172599808/Nj1USQSL_bigger.jpg,https://x.com/Vndr__/status/1968142067957424307,tweet_id:1968142067957424307,negatif,0.9866622090339661
برادا Prada I #freepalestine,@mynameprada,2025-09-16T23:06:11.000Z,False,"We Really Hate Freeport#PESTAPORAprada.substack.com/p/we-really-ha
…",0,0,0,76,['#PESTAPORA'],[],[],https://pbs.twimg.com/profile_images/1964334964591206400/VIjXoaC__bigger.jpg,https://x.com/mynameprada/status/1968089057822667079,tweet_id:1968089057822667079,netral,0.9759954810142517
kak Robs,@robbysunata,2025-09-16T12:52:02.000Z,True,Sekarang you udah pada tau ya kenapa pestapora diboikot gegara gandeng freeport.,0,0,0,180,[],[],[],https://pbs.twimg.com/profile_images/1963085102067679235/YDMk1X_L_bigger.jpg,https://x.com/robbysunata/status/1967934503160258824,tweet_id:1967934503160258824,negatif,0.959020733833313
Urip & Resist,@mmaryasir,2025-09-16T08:18:24.000Z,True,"Pestapora 5, 6, 7 September 
Kejadian di Freeport 8 September

Beritanya ga naik/rame, ketutupan keramaian orang bahas Freeport (yg ga jadi) sponsorin Pestapora.",8,2.6K,4.4K,202K,[],[],[],https://pbs.twimg.com/profile_images/1962748721021771777/n5BhxIN4_bigger.jpg,https://x.com/mmaryasir/status/1967865642016706852,tweet_id:1967865642016706852,negatif,0.9535619020462036
Kyle,@dekolonisasi_,2025-09-15T18:37:16.000Z,True,This is perhaps one of the many reasons Freeport tries to whitewash its image by sponsoring events such as Pestapora and stand-up comedy shows.,0,0,3,414,[],[],[],https://pbs.twimg.com/profile_images/1964903179809701888/pHw5Xp_X_bigger.jpg,https://x.com/dekolonisasi_/status/1967658996762095634,tweet_id:1967658996762095634,netral,0.6028581857681274
Indonesian Youth Coucil for Tactical Changes,@iyctc_id,2025-09-14T11:26:23.000Z,False,"Pertanyaannya, apakah hanya Freeport? Atau sebenarnya ada pola lebih besar yang biasa bersembunyi di balik panggung hiburan kita?#Pestapora #Pestapora2025 #Freeport #IYCTC #LindungiKiniNanti #SaveOurSurroundings",0,0,0,118,"['#Pestapora', '#Pestapora2025', '#Freeport', '#IYCTC', '#LindungiKiniNanti', '#SaveOurSurroundings']",[],[],https://pbs.twimg.com/profile_images/1646777261503438848/IMo_jYDH_bigger.jpg,https://x.com/iyctc_id/status/1967188171449573704,tweet_id:1967188171449573704,negatif,0.875390887260437
Indonesian Youth Coucil for Tactical Changes,@iyctc_id,2025-09-14T11:26:08.000Z,False,"Tapi tahun ini, Pestapora menjadi sorotan karena kecolongan  menjadi sponsor. Dari kasus ini kita belajar kalau ternyata peran sponsor itu tidak hanya soal dana, tapi juga nilai dan etika yang dimiliki. #Pestapora #Pestapora2025 #Freeport #IYCTC #LindungiKiniNanti",1,0,0,172,"['#Pestapora', '#Pestapora2025', '#Freeport', '#IYCTC', '#LindungiKiniNanti']",['@IDFreeport'],[],https://pbs.twimg.com/profile_images/1646777261503438848/IMo_jYDH_bigger.jpg,https://x.com/iyctc_id/status/1967188110024077338,tweet_id:1967188110024077338,positif,0.5790449380874634
Indonesian Youth Coucil for Tactical Changes,@iyctc_id,2025-09-14T11:25:46.000Z,False,"Hello You(th)!Pestapora adalah salah satu festival musik yang paling ditunggu orang muda setiap tahunnya, karena banyak musisi dan idola mereka tampil.#Pestapora #Pestapora2025 #Freeport #IYCTC #LindungiKiniNanti #SaveOurSurroundings",1,1,2,286,"['#Pestapora', '#Pestapora2025', '#Freeport', '#IYCTC', '#LindungiKiniNanti', '#SaveOurSurroundings']",[],[],https://pbs.twimg.com/profile_images/1646777261503438848/IMo_jYDH_bigger.jpg,https://x.com/iyctc_id/status/1967188016885322021,tweet_id:1967188016885322021,positif,0.9871204495429993
MMTC Radio Jogja,@mmtcradiojogja,2025-09-14T09:26:02.000Z,False,Penampil Ramai-ramai Mundur dari Pestapora karena Isu Freeport shorturl.at/13Jz7 #ViralNow #TalkActive #CARINA radio.mmtc.ac.id,0,0,0,116,"['#ViralNow', '#TalkActive', '#CARINA']",[],[],https://pbs.twimg.com/profile_images/1955122622662127616/f9TxvVxf_bigger.jpg,https://x.com/mmtcradiojogja/status/1967157886439788768,tweet_id:1967157886439788768,netral,0.9663769602775574
mumet,@amarawati_,2025-09-13T14:46:29.000Z,False,malam ini lebi seru dan hatiku penuh sekali ntnn kakakaka pace mace menarinari memutar lagunya bikin pertunjukan  daripada ntnn pestapora yg didanai freeport bangsat,0,0,0,175,[],[],[],https://pbs.twimg.com/profile_images/1963503494255796224/b54WEqm7_bigger.jpg,https://x.com/amarawati_/status/1966876142503424044,tweet_id:1966876142503424044,positif,0.8684690594673157
Rivaldi,@Rivaldi_Afrians,2025-09-11T19:10:10.000Z,False,"Tapi, kalo gak Twitter tahun depan Freeport pasti bakal perpanjang kontrak sponsor di Pestapora ",0,0,1,247,[],[],['\\U0001f64f\\U0001f3fc'],https://pbs.twimg.com/profile_images/1655160015605628930/B2tSBLsu_bigger.jpg,https://x.com/Rivaldi_Afrians/status/1966217723857482239,tweet_id:1966217723857482239,netral,0.908351480960846
MynameisJonas =w=,@DMZZH,2025-09-11T07:38:17.000Z,False,"Buzzernya si ucup pestapora x freeport kenceng banget… 

apa buat nutupin yg sempet di post di IG soal dia terduga kasus kekerasan seksual?",1,0,1,318,[],[],[],https://pbs.twimg.com/profile_images/1962731705388912640/sJ9jQLLH_bigger.jpg,https://x.com/DMZZH/status/1966043603429638245,tweet_id:1966043603429638245,negatif,0.9920222759246826
Indonesia Consumers Organization,@YLKI_ID,2025-09-11T04:31:20.000Z,False,"Kejadian ini menjadi catatan penting, transparansi dan kehati-hatian harus selalu diutamakan demi menjaga kepercayaan konsumen.#pestapora2025 #pestapora #solidaritas #ptfreeportindonesia #freeport #papua #konsermusik #konser #ylki",0,0,0,208,"['#pestapora2025', '#pestapora', '#solidaritas', '#ptfreeportindonesia', '#freeport', '#papua', '#konsermusik', '#konser', '#ylki']",[],[],https://pbs.twimg.com/profile_images/1831971653141626880/nWIJ2T3v_bigger.jpg,https://x.com/YLKI_ID/status/1965996559486820853,tweet_id:1965996559486820853,positif,0.6729196906089783
"HTTP is Dead / Muhammad Firza S., Kom.",@firzafp,2025-09-10T08:48:25.000Z,False,"Pestapora banyak yang batal akibat sponsor Freeport, tapi beruntong Synchronize Fest tak batal dan jangan lupa nantikan ketemu ""veteran VJ MV, pemenang artis baru AMI ke-4/PMI XV, band alt-rock revolusioner (alumni IndieTen 1)""",0,0,5,3.5K,[],[],[],https://pbs.twimg.com/profile_images/1956910989229875200/GopW-ibO_bigger.jpg,https://x.com/firzafp/status/1965698868248707495,tweet_id:1965698868248707495,positif,0.7891422510147095
nawirisme,@utpux,2025-09-10T03:28:12.000Z,False,Kehidupan udah normal. Freeport dan PestaPora. Dan sekarang Harum Manis.,0,0,0,221,[],[],[],https://pbs.twimg.com/profile_images/1830251130795995136/X5a4UV4o_bigger.jpg,https://x.com/utpux/status/1965618280275837016,tweet_id:1965618280275837016,positif,0.9896565675735474
Tera Yugita,@yugita_tera,2025-09-09T23:12:02.000Z,False,"belakangan ini dunia musik dihebohkan oleh satu nama Freeport keputusan dari pestapora untuk menggandeng PT Freeport Indonesia sebagai sponsor memicu kontroversi 

- idbaruid -",0,0,0,197,[],[],[],https://pbs.twimg.com/profile_images/1666361320843915265/s-BCMqJA_bigger.jpg,https://x.com/yugita_tera/status/1965553814364454967,tweet_id:1965553814364454967,negatif,0.5009850263595581
,@pokamiami,2025-09-09T16:26:10.000Z,False,"Misalnya, orang bisa aja punya standar ganda, protes sponsor Freeport di Pestapora, tapi tidak protes sponsor Freeport di  dg alasan ""gak serta-merta""",1,0,0,225,[],['@Standupindo'],[],https://pbs.twimg.com/profile_images/1788406880970428416/5lCNu-6H_bigger.jpg,https://x.com/pokamiami/status/1965451677919760401,tweet_id:1965451677919760401,negatif,0.994057297706604
dwipo kuncoro,@dwipokuncoro,2025-09-09T14:54:46.000Z,False,"Drama 3 babak #Pestapora tahun ini
Hari 1 : Sholat Jumat dan Rhoma Irama
Hari 2 : Freeport 
Hari 3 : Siti Nurhaliza",0,2,6,512,['#Pestapora'],[],[],https://pbs.twimg.com/profile_images/1691733955236794368/sg4deIzH_bigger.jpg,https://x.com/dwipokuncoro/status/1965428673420689483,tweet_id:1965428673420689483,netral,0.9807246923446655
