"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964022174601396457","Fri Sep 05 18:15:38 +0000 2025","16757","@PestaPestapora Di perut bumi Papua Freeport mengeruk emas. Di tubuh rakyatnya racun menggerogoti perlahan. Dan di ibukota kalian berpesta seakan derita itu tak pernah ada. https://t.co/ilrUYMw46U","1964029670556598669","https://pbs.twimg.com/media/G0Gik5VaoAAhAs6.jpg","PestaPestapora","in","","44","350","3419","https://x.com/undefined/status/1964029670556598669","1725664446096588800",
"1964593695006871701","Sun Sep 07 07:36:51 +0000 2025","55","Panggung Pestapora 2025 menjadi saksi momen emosional ketika musisi Endah Widiastuti dari duo Endah N Rhesa menyampaikan pesan kritisnya mengenai PT Freeport Indonesia. Sambil menahan tangis Endah secara terbuka menyuarakan keberatan atas keterlibatan perusahaan tambang PT https://t.co/lnEme1oVTC","1964593695006871701","https://pbs.twimg.com/amplify_video_thumb/1964592989545910273/img/u0UZ-_Q-auPgqErk.jpg","","in","","35","8","16","https://x.com/undefined/status/1964593695006871701","58880688",
"1967865642016706852","Tue Sep 16 08:18:24 +0000 2025","4417","Pestapora 5 6 7 September Kejadian di Freeport 8 September Beritanya ga naik/rame ketutupan keramaian orang bahas Freeport (yg ga jadi) sponsorin Pestapora.","1967865642016706852","","","in","","23","8","2594","https://x.com/undefined/status/1967865642016706852","183124089",
"1964199227145257373","Sat Sep 06 05:29:23 +0000 2025","455","Klarifikasi Kiki Ucup mengenai PT Freeport di Pestapora 2025. https://t.co/a5YU55iWhT","1964199227145257373","https://pbs.twimg.com/amplify_video_thumb/1964199131653795840/img/_PpzOxn6wFFhfTC0.jpg","","in","","50","64","109","https://x.com/undefined/status/1964199227145257373","436617891",
"1963992918646993024","Fri Sep 05 15:49:35 +0000 2025","27467","Pestapora From this To this (Greenpeace) (Freeport) https://t.co/YGxvVCBJNx","1963992918646993024","https://pbs.twimg.com/media/G0GBJfLaAAAEe74.jpg","","en","","810","641","4326","https://x.com/undefined/status/1963992918646993024","57517177",
"1964022174601396457","Fri Sep 05 22:37:45 +0000 2025","2783","@PestaPestapora Kenapa kalau di sepak bola jarang ada yang bersuara begini juga ya? PestaPora dihujat. Timnas dicinta. Sama-sama Freeport. https://t.co/M5sJxRiHhH","1964095636082495611","https://pbs.twimg.com/media/G0HekXrbUAAlKIj.jpg","PestaPestapora","in","","240","191","433","https://x.com/undefined/status/1964095636082495611","223502335",
"1964216207206470139","Sat Sep 06 06:36:51 +0000 2025","29","Sejumlah musisi tanah air membatalkan penampilannya di festival musik Pestapora 2025. Keputusan itu diambil setelah mengetahui bahwa acara Pestapora disponsori oleh PT. Freeport Indonesia. . Kehadiran perusahaan tambang di Papua itu dinilai mencederai perjuangan para musisi untuk https://t.co/gUqLyjeRv8","1964216207206470139","https://pbs.twimg.com/media/G0JMLTGasAAqEx0.jpg","","in","","3","2","13","https://x.com/undefined/status/1964216207206470139","58880688",
"1964342589408366832","Sat Sep 06 14:59:03 +0000 2025","424","Merespon penolakan musisi terhadap kehadiran PT Freeport dalam gelaran musik Pestapora beberapa musisi memutuskan untuk menyalurkan donasi melalui rekening donasi Wahana Lingkungan Hidup Indonesia (WALHI). Kami mengucapkan terima kasih dan sekaligus memastikan bahwa donasi https://t.co/GWB2M2uLbQ","1964342589408366832","https://pbs.twimg.com/media/G0K_KwGXoAEhek4.jpg","","in","","0","1","193","https://x.com/undefined/status/1964342589408366832","201309164",
"1963850310826500171","Fri Sep 05 06:22:55 +0000 2025","160","wkwkwkwkwk sponsor pestapora freeport ","1963850310826500171","","","in","","8","2","57","https://x.com/undefined/status/1963850310826500171","202681630",
"1964037369906229710","Sat Sep 06 01:15:27 +0000 2025","1835","@ecommurz Mungkin ada kaitan dg sponsor greenpeace di pestapora 2023. Patternnya mirip dg Artjog yg disponsori Freeport di 2016 nah jadi di Artjog 2014 ada lukisan Djoko Pekik yg berjudul Go To Hell. Gambar buaya menggerogoti gunung spt bekas tambang freeport di papua. https://t.co/oStKvDRcOq","1964135322243256733","https://pbs.twimg.com/media/G0ICqrnaMAAiACO.jpg","ecommurz","in","","10","4","184","https://x.com/undefined/status/1964135322243256733","293577156",
"1964009665114886314","Fri Sep 05 16:56:08 +0000 2025","16780","Pestapora has faced backlash for including Freeport as one of its sponsors. https://t.co/2vqGfuWxC1","1964009665114886314","https://pbs.twimg.com/media/G0GQYbla0AA-bs2.jpg","","en","","563","749","2364","https://x.com/undefined/status/1964009665114886314","1394211991116451843",
"1964022174601396457","Fri Sep 05 19:10:01 +0000 2025","1259","@PestaPestapora dikasih kerjaan di freeport jg pada diem lu semua","1964043359930241038","","PestaPestapora","in","","104","207","67","https://x.com/undefined/status/1964043359930241038","70111957",
"1724429887698518327","Tue Nov 14 14:11:38 +0000 2023","1464","Izin Freeport diperpanjang 20 tahun tambangnya terus dikeruk profitnya diakumulasi Sementara rakyat Papua kebagian limbah tambangnya dirusak pesisir dan airnya. https://t.co/YLLR7HLy1Q","1724429887698518327","https://pbs.twimg.com/media/F-5nuhBWgAAaxOA.jpg","","in","","37","19","972","https://x.com/undefined/status/1724429887698518327","1206518264811020289",
"1964306169880776715","Sat Sep 06 12:34:20 +0000 2025","119","Dari kejadian pestapora mengajarkan bahwa masih ada permasalahan negeri ini yang hampir terlupakan. Freeport akhirnya semua orang mengingat kembali bahkan banyak orang yang baru tau betapa busuknya perusahaan tersebut menghancurkan Papua dan membunuh rakyat disana. #KamiMundur https://t.co/deigslzuQi","1964306169880776715","https://pbs.twimg.com/media/G0KeDBKWEAAlGLf.jpg","","in","","1","1","40","https://x.com/undefined/status/1964306169880776715","1372454788395278337",
"1964385674779643996","Sat Sep 06 17:50:16 +0000 2025","225","pestapora kena cancel karena disponsorin freeport https://t.co/SLBq88b8I2","1964385674779643996","https://pbs.twimg.com/ext_tw_video_thumb/1964384420674306048/pu/img/Vizz8TYoGrSRzNCl.jpg","","in","","39","31","46","https://x.com/undefined/status/1964385674779643996","168430233",
"1964024776978288910","Fri Sep 05 17:56:11 +0000 2025","5748","Pestapora issued a statement following backlash over including PT Freeport as one of its sponsors. https://t.co/GyOmQ8itiM","1964024776978288910","https://pbs.twimg.com/media/G0GeH_PbYAA8b2s.jpg","","en","","325","141","607","https://x.com/undefined/status/1964024776978288910","1394211991116451843",
"1257187903278419968","Mon May 04 05:58:48 +0000 2020","1082","Emang sejak 1967 ga ada otaknya nih Freeport. Udah 51 kasus positif Covid-19 tapi operasi tetap jalan. Karyawan udah berminggu-minggu protes minta hentikan operasi tapi dicuekin. https://t.co/hqCX71sbib","1257187903278419968","https://pbs.twimg.com/media/EXJtsZGVcAEM8CB.jpg","","in","","46","39","582","https://x.com/undefined/status/1257187903278419968","816307300616941569",
"1964185261425950912","Sat Sep 06 04:33:53 +0000 2025","443","WHEN MUSIC ARTISTS TAKE A STAND ON DOING WHAT'S RIGHT! Around 30 acts have announced their withdrawal from Indonesia's biggest music festival Pestapora due to PT Freeport being a main sponsor. Freeport is linked to environmental destruction and human rights abuses in Papua. https://t.co/q6TK7BHL55","1964185261425950912","https://pbs.twimg.com/media/G0IvH8QbUAIUsPS.jpg","","en","","4","5","190","https://x.com/undefined/status/1964185261425950912","37459590",
